Coin name,Market,Currency,Price,Open 24H,Range 24H
DOGE,BTC38,BTC,2.8E-7,2.8E-7,0
DOGE,BTC38,CNY,0.01303,0.0132,0.00050000
DOGE,Jubi,CNY,0.012987,0.01318,0.00049700
DOGE,CCEDK,CNY,0.00012843,0.00012843,0
DOGE,BTER,CNY,0.01298,0.01313,0.00051999
DOGE,Yobit,USD,0.00195,0.00194977,0.00008958
DOGE,LiveCoin,USD,0.00192126,0.00187976,0.00013875
DOGE,CCEDK,USD,0.00012101,0.00012101,0
DOGE,CCEX,USD,0.0019,0.00190003,0.00015999
DOGE,BTER,USD,0.00015999,0.00015999,0
DOGE,Cryptsy,USD,0.0001852,0.0001852,0
DOGE,HitBTC,USD,0.001941,0.001956,0.00012000
DOGE,Cexio,USD,0.00013998,0.00013998,0
DOGE,Exmo,USD,0.00022101,0.00022101,0
DOGE,Yobit,RUR,0.11579,0.11362005,0.00509996
DOGE,Cexio,LTC,0.0000375,0.0000375,0
DOGE,Cryptsy,LTC,0.0000599,0.0000599,0
DOGE,Cryptopia,LTC,0.00004267,0.00004148,0.00000374
DOGE,CCEDK,LTC,0.00006301,0.00006301,0
DOGE,CCEX,LTC,0.00004111,0.000041,0.00002796
DOGE,Coinse,LTC,0.000055,0.000055,0
DOGE,Novaexchange,LTC,0.00004121,0.00004121,0
DOGE,Cryptopia,USDT,0.001889,0.00189937,0.00011112
DOGE,Cryptopia,NZDT,0.00256565,0.0026,0.00021297
DOGE,Tidex,WAVES,0.0004,0.0005,0.00009999
DOGE,Novaexchange,ESP2,7,6.99999993,0.30000673
LTC,OKCoin,CNY,312.6,310.5,11
LTC,BTCChina,CNY,310.25,310.88,8.5
LTC,Jubi,CNY,310.9,310,12.3199999
LTC,BTER,CNY,32.16,32.16,0
LTC,CHBTC,CNY,310.44,308.86,8.75999999
LTC,BTC38,CNY,310,309.02,14.5
LTC,Huobi,CNY,311,310.09,8.56999999
LTC,Bleutrade,BTC,0.01306668,0.01361003,0.00113331
LTC,Cryptopia,BTC,0.01326835,0.01360364,0.00078486
LTC,BitMarket,BTC,0.0131,0.0137,0.00069999
LTC,BTCE,BTC,0.01616,0.01616,0
LTC,Novaexchange,BTC,0.01332199,0.01399975,0.00149630
LTC,Kraken,BTC,0.013452,0.013682,0.00056900
LTC,Cryptsy,BTC,0.007699,0.007699,0
LTC,LiveCoin,BTC,0.0133312,0.01376099,0.00084675
LTC,Coinbase,BTC,0.01335,0.01369,0.00052999
LTC,HitBTC,BTC,0.01334,0.01369,0.00073999
LTC,BTER,BTC,0.01332,0.014,0.00161000
LTC,BTCChina,BTC,0.0135,0.0136,0.00130000
LTC,CCEX,BTC,0.01339897,0.0134,0.00055771
LTC,Bit2C,BTC,0.0133,0.0133,0
LTC,Exmo,BTC,0.01340538,0.01359235,0.00232399
LTC,TheRockTrading,BTC,0.01335,0.01362,0.00868000
LTC,Yacuna,BTC,0.0127884,0.0127884,0
LTC,BTCMarkets,BTC,0.0135,0.01300052,0.00299778
LTC,BTC38,BTC,0.005,0.005,0
LTC,Bitstamp,BTC,0.01333,0.01369998,0.00048999
LTC,BitTrex,BTC,0.0133799,0.01376153,0.00052080
LTC,Tidex,BTC,0.01329131,0.01374469,0.00071407
LTC,Yobit,BTC,0.01323992,0.01370999,0.00060996
LTC,Liqui,BTC,0.01928752,0.01928752,0
LTC,Coinse,BTC,0.0076,0.0076,0
LTC,BitSquare,BTC,0.01538285,0.01538285,0
LTC,BitBay,BTC,0.01305025,0.0152,0.00214975
LTC,Bitfinex,BTC,0.013366,0.01368,0.00064299
LTC,CryptoX,BTC,0.01360714,0.01367199,0.00018100
LTC,CCEDK,BTC,0.00830001,0.00830001,0
LTC,Poloniex,BTC,0.013381,0.01370477,0.00062765
LTC,Cexio,BTC,0.00449891,0.00449891,0
LTC,TuxExchange,BTC,0.01350025,0.01394364,0.00094417
LTC,Yobit,USD,45.61,45.5000000,1.79999000
LTC,Kraken,USD,46.00001,45.82176,1.62518000
LTC,BTCE,USD,41.279542,41.279542,0
LTC,TheRockTrading,USD,35,35,0
LTC,OKCoin,USD,48.21,48.048,1.54899999
LTC,Poloniex,USD,45.9758891,46.0100000,1.28000009
LTC,Tidex,WUSD,44.2456566,45.8137552,2.57494084
LTC,LiveCoin,USD,45.1147,43.41,3.58999000
LTC,BitBay,USD,43.94,43,3.95000000
LTC,Bitfinex,USD,45.868,46,1.28999999
LTC,Cryptsy,USD,3.28895,3.28895,0
LTC,Exmo,USD,44.5920089,44.72776,1.79988999
LTC,BitTrex,USD,45.75,46,1.49599994
LTC,Coinbase,USD,45.88,45.69,0.81000000
LTC,Cexio,USD,4.36999999,4.36999999,0
LTC,HitBTC,USD,45.926,45.922,4.10900000
LTC,Bitstamp,USD,45.88,45.9,1.29999999
LTC,CCEDK,USD,3.94899999,3.94899999,0
LTC,CCEX,USD,45.5,44,3
LTC,Bithumb,KRW,52040,51600,1470
LTC,BitSquare,EUR,34.6467,34.6467,0
LTC,Tidex,WEUR,37.8666141,41.2137695,4.20566924
LTC,HitBTC,EUR,37.987,34.5,11.3690000
LTC,Kraken,EUR,39.16286,38.9,0.93549999
LTC,CCEDK,EUR,4.35,4.35,0
LTC,Yacuna,EUR,8.88,8.88,0
LTC,BTCE,EUR,35.968,35.968,0
LTC,TheRockTrading,EUR,38.85,39.2,1.71000000
LTC,Bitstamp,EUR,39.03,38.96,0.95000000
LTC,Cexio,EUR,4.2313,4.2313,0
LTC,Exmo,EUR,38.89999,37.12,2.16596727
LTC,BitBay,EUR,41.5,38.4,3.14999999
LTC,Coinbase,EUR,39.15,38.79,1.09000000
LTC,BitTrex,ETH,0.16437595,0.17201223,0.00962187
LTC,Cryptopia,ETH,0.6,0.6,0
LTC,CCEX,ETH,0.62356113,0.62356113,0
LTC,Novaexchange,ETH,0.19010039,0.19010039,0
LTC,Liqui,ETH,0.198852,0.198852,0
LTC,BitBay,PLN,162.46,159.66,7.58000000
LTC,BitMarket,PLN,162.28,162,5.34970000
LTC,QuadrigaCX,CAD,60.01,60,2.46999999
LTC,BTCMarkets,AUD,58.95,57.99,2.05000000
LTC,MercadoBitcoin,BRL,147.2,146.24999,7.90000000
LTC,BTCE,RUB,2478.86708,2478.86708,0
LTC,Exmo,RUB,2600,2607,110.660985
LTC,Cryptopia,USDT,45,44.9000000,2.88660962
LTC,Liqui,USDT,45.5190323,45.6565325,2.57330987
LTC,Poloniex,XMR,0.88742261,0.9591672,0.09257738
LTC,Yobit,RUR,2694.73856,2682,71.4999999
LTC,Bit2C,ILS,164.87,154,10.8799999
LTC,Tidex,WAVES,8.9098,8.5358,0.78920000
LTC,Cryptopia,NZDT,62.4670795,58.8765097,3.62349026
LTC,Tidex,WEUR,37.8666141,41.2137695,4.20566924
LTC,Tidex,WUSD,44.2456566,45.8137552,2.57494084
ETC,Bithumb,KRW,17380,17400,380
ETC,Korbit,KRW,17380,17460,530
ETC,Coinone,KRW,20100,20100,0
ETC,Novaexchange,BTC,0.0045,0.00450122,0.00049999
ETC,Bitfinex,BTC,0.0044469,0.0045795,0.00024140
ETC,CCEX,BTC,0.0044,0.0050999,0.00209990
ETC,Yobit,BTC,0.00430003,0.00454001,0.00033198
ETC,Kraken,BTC,0.00441224,0.00455204,0.00024199
ETC,BitSquare,BTC,0.00673723,0.00673723,0
ETC,BTER,BTC,0.004456,0.004513,0.00066100
ETC,HitBTC,BTC,0.00439,0.004584,0.00043099
ETC,Cryptopia,BTC,0.00442226,0.00459995,0.00043216
ETC,BTCMarkets,BTC,0.004115,0.0047,0.00142831
ETC,BitTrex,BTC,0.00440163,0.00459999,0.00032850
ETC,Poloniex,BTC,0.0044241,0.00458697,0.00021512
ETC,CHBTC,CNY,103.2,103.61,2.48000000
ETC,Jubi,CNY,103.1,104.79,2.82999999
ETC,BTER,CNY,15.999,15.999,0
ETC,Yunbi,CNY,103.32,103.32,0
ETC,BTC38,CNY,102.6,103.4,2.89999999
ETC,HitBTC,USD,15,14.53,1.27000000
ETC,BitTrex,USD,15.1310000,15.4,0.65799995
ETC,Poloniex,USD,15.1500003,15.4261156,0.69000010
ETC,Kraken,USD,15.29992,15.369,0.5
ETC,Bitfinex,USD,15.2,15.464,0.64000000
ETC,CCEX,USD,15,14.5,0.5
ETC,HitBTC,ETH,0.058583,0.060114,0.00698000
ETC,Novaexchange,ETH,0.0007218,0.0007218,0
ETC,BitTrex,ETH,0.05506831,0.05668897,0.00363945
ETC,CCEX,ETH,0.01000006,0.01000006,0
ETC,Poloniex,ETH,0.05464289,0.05713408,0.00356441
ETC,Kraken,ETH,0.05456607,0.05629012,0.00388974
ETC,BTER,ETH,0.062,0.05,0.01299996
ETC,Kraken,EUR,12.95,13.1,0.52408999
ETC,BTCMarkets,AUD,19.84,19.4,0.83000000
ETC,CCEX,LTC,0.30576005,0.32,0.01423995
ETC,Novaexchange,LTC,0.365,0.365,0
ETC,Cryptopia,LTC,0.32000099,0.31972287,0.00127267
ETC,CCEX,DOGE,7501.00000,7501.00000,0
ETC,Novaexchange,DOGE,29990,29990,0
ETC,Cryptopia,DOGE,8100,7509.32414,617.331301
ETC,Cryptopia,NZDT,20,19.89,0.10999999
XPY,Cryptsy,BTC,0.00006116,0.00006116,0
XPY,CCEX,BTC,0.000595,0.000595,0
XPY,BitTrex,BTC,0.00000496,0.00000496,0
XPY,Yobit,BTC,0.0000051,0.0000051,0
PPC,Jubi,CNY,12.513,12.575,2.85500000
PPC,BTER,CNY,12.3,12.23,1.19999999
PPC,CCEDK,CNY,3.25,3.25,0
PPC,BTC38,CNY,12.39,12.71,1.22999999
PPC,Novaexchange,BTC,0.0004545,0.00054001,0.00008550
PPC,TuxExchange,BTC,0.00059999,0.00059999,0
PPC,BTER,BTC,0.00053,0.00055,0.00015999
PPC,BitTrex,BTC,0.00053006,0.00056681,0.00007740
PPC,Yobit,BTC,0.00052252,0.00058464,0.00006380
PPC,BTCE,BTC,0.00071,0.00071,0
PPC,Cryptopia,BTC,0.00053054,0.00056288,0.00005224
PPC,Bleutrade,BTC,0.0005601,0.00054704,0.00003583
PPC,Cryptsy,BTC,0.0013,0.0013,0
PPC,Coinse,BTC,0.00139,0.00139,0
PPC,LiveCoin,BTC,0.00055317,0.00056699,0.00006024
PPC,CCEDK,BTC,0.0008,0.0008,0
PPC,Poloniex,BTC,0.00053145,0.00055614,0.00004719
PPC,TheRockTrading,BTC,0.00059,0.00056,0.00005999
PPC,TheRockTrading,EUR,1.75,1.59,0.17999999
PPC,CCEDK,EUR,0.89,0.89,0
PPC,CCEDK,LTC,0.07237482,0.07237482,0
PPC,Cryptsy,LTC,0.1594012,0.1594012,0
PPC,Cryptopia,LTC,0.041,0.03883336,0.00216664
PPC,Novaexchange,LTC,0.02506016,0.02506016,0
PPC,Novaexchange,ETH,0.00439662,0.00439662,0
PPC,Cryptopia,ETH,0.0360377,0.0360377,0
PPC,Bleutrade,DOGE,910.387,1011.23,100.843000
PPC,Cryptopia,DOGE,966.666666,966.666666,0
BTC,Coincheck,JPY,386018,370973,24461
BTC,LakeBTC,JPY,390491,383844,16416
BTC,Kraken,JPY,382207.1,368687.1,31292.9000
BTC,Zaif,JPY,384695,370940,24755
BTC,bitFlyerFX,JPY,388500,379500,19658
BTC,LocalBitcoins,JPY,354630.47,337119.24,121619.5
BTC,bitFlyer,JPY,384718,370994,23124
BTC,BitSquare,JPY,131007.863,131007.863,0
BTC,Quoine,JPY,385823.733,371049.92,22999
BTC,MonetaGo,JPY,28363.57,28363.57,0
BTC,Coinbase,USD,3430.49,3341.41,161
BTC,BitBay,USD,3434.99,3246,189.989999
BTC,Coinfloor,USD,3407,3330,734
BTC,Bitfinex,USD,3431.8,3367.4,162.800000
BTC,BTCE,USD,2546,2546,0
BTC,LakeBTC,USD,3525.15,3449.45,153.800000
BTC,TheRockTrading,USD,3429.7,3377.81,173.569999
BTC,CCEDK,BITUSD,429.278801,429.278801,0
BTC,Yunbi,BITUSD,370,370,0
BTC,QuadrigaCX,USD,3478,3390,309.670000
BTC,Yobit,USD,3430,3332.00001,137.999989
BTC,itBit,USD,3435.97,3353.62,160.630000
BTC,Exmo,USD,3323.97,3298,149.999898
BTC,LocalBitcoins,USD,4750,4442.45,14143.9400
BTC,BitSquare,USD,3704.2135,3224.17,480.043499
BTC,CCEDK,USD,530,530,0
BTC,BTER,BITUSD,15,15,0
BTC,Huobi,USD,1861.8,1861.8,0
BTC,BitTrex,USD,3434.99,3357.028,164
BTC,MonetaGo,USD,384.02,384.02,0
BTC,Cryptsy,USD,427.934873,427.934873,0
BTC,CCEX,USD,620.5,620.5,0
BTC,Poloniex,USD,3427.40313,3362.45062,149.000000
BTC,Tidex,WUSD,3340.57443,3330.48504,156.282094
BTC,Bitstamp,USD,3437.74,3355.3,165
BTC,OKCoin,USD,3608.25,3480,252.389999
BTC,Gemini,USD,3436.74,3337.4,150.409999
BTC,Kraken,USD,3449.99,3342.861,173.235000
BTC,WavesDEX,USD,2449,3229.86,951
BTC,HitBTC,USD,3427.86,3350.6,151.610000
BTC,Coinsetter,USD,410,410,0
BTC,Quoine,USD,3463.25845,3339.74463,265.101560
BTC,Gatecoin,USD,3442.7,3313.2,208.300000
BTC,LiveCoin,USD,3407.16788,3145.59992,324.999949
BTC,Cexio,USD,3488.5,3356.4999,197.326599
BTC,LocalBitcoins,KRW,4428652.06,3627901.02,826487.569
BTC,Coinone,KRW,3909000,3771000,244000
BTC,Korbit,KRW,3908500,3784000,220000
BTC,Bithumb,KRW,3908000,3656000,310000
BTC,Huobi,CNY,23150,22350,1458.95999
BTC,CCEDK,BITCNY,2291.59272,2291.59272,0
BTC,LocalBitcoins,CNY,22669.65,25800,6562.01999
BTC,CHBTC,CNY,23174.92,22357.01,1448.00999
BTC,BTC38,CNY,22901,22000,1599.90000
BTC,MonetaGo,CNY,2942.53,2942.53,0
BTC,BitSquare,CNY,13260.9,13260.9,0
BTC,Yunbi,CNY,21700,21700,0
BTC,BitTrex,BITCNY,23865.9999,21200.0000,2665.99999
BTC,LakeBTC,CNY,20790.31,20790.31,0
BTC,BTCChina,CNY,23148.98,22301.01,1465
BTC,Quoine,CNY,15197.9430,15197.9430,0
BTC,Jubi,CNY,23211.7,22318,1398
BTC,OKCoin,CNY,23088,22370,1422.65000
BTC,CCEDK,CNY,0.01,0.01,0
BTC,ViaBTC,CNY,22900,22343.33,1888.84000
BTC,BTER,CNY,3861.72,3861.72,0
BTC,Yacuna,EUR,250,250,0
BTC,Quoine,EUR,2928.65663,2689.15974,256.852739
BTC,LocalBitcoins,EUR,3269.32,2453.3,5071.10000
BTC,Cryptsy,EUR,420,420,0
BTC,MonetaGo,EUR,243.59,243.59,0
BTC,CCEDK,EUR,439.581583,439.581583,0
BTC,TheRockTrading,EUR,2915.9,2867.36,120
BTC,Kraken,EUR,2920.001,2835,142.276000
BTC,BitSquare,EUR,2913.4,2797.3092,121.135199
BTC,Coinfloor,EUR,2992,2760,232
BTC,WavesDEX,EUR,2736.34,2753.66,183.710000
BTC,Bitstamp,EUR,2930,2848.5,147.969999
BTC,Coinbase,EUR,2927.25,2850,148.389999
BTC,BitMarket,EUR,2908.2036,2776.7155,159.494799
BTC,LiveCoin,EUR,2926.50091,2900,175
BTC,Paymium,EUR,2905,2830,198.769999
BTC,HitBTC,EUR,2499.16,2050.14,449.030000
BTC,BTCE,EUR,2226.85317,2226.85317,0
BTC,Cexio,EUR,2899.7,2809,147.463200
BTC,Tidex,WEUR,2844.72914,2996.08365,229.740432
BTC,BitBay,EUR,2919.96,2759.99,280
BTC,itBit,EUR,2906.6,2816.12,119.380000
BTC,Exmo,EUR,2884.44534,2735,202.671793
BTC,Gatecoin,EUR,2915.9,2808.1,200.209899
BTC,LakeBTC,EUR,2980.95,2926.73,125.519999
BTC,LocalBitcoins,PLN,12674.51,12086.15,1502.32999
BTC,BitBay,PLN,12300,11697.07,702.930000
BTC,BitSquare,PLN,1763.12,1763.12,0
BTC,Coinfloor,PLN,12301,11938,363
BTC,BitMarket,PLN,12300,11810,764.998999
BTC,BitSquare,GBP,2473.3926,2473.3926,0
BTC,LocalBitcoins,GBP,2773.1,2649.56,13828.1700
BTC,Coinfloor,GBP,2646,2559,128
BTC,MonetaGo,GBP,172.55,172.55,0
BTC,BTCE,GBP,151,151,0
BTC,Yacuna,GBP,150,150,0
BTC,LakeBTC,GBP,2729.07,2667.88,114.549999
BTC,Coinbase,GBP,2652.06,2569.5,129.300000
BTC,Kraken,GBP,2777.995,2582.961,262.987000
BTC,CCEDK,GBP,225.01,225.01,0
BTC,LocalBitcoins,ZAR,48120,44400,14230.4199
BTC,MonetaGo,ZAR,7104.44,7104.44,0
